Rank,Name,Description,Link,County,Location,City,State_abbr,State,Zip_Code,Gross_Leasable_Area,GLA_Million_sqft,Number_of_Acres,Distance_to_Competing_Center,Type,Levels,Shape,Date_Opened,Last_Renovation_Completed,Expansion_Plans,Nearest_Major_City,Distance_to_Major_City,Owner_Developer,Total_Stores,Number_of_Parking_Spaces,Distance_from_Primary_Market,Food_Court,Comment,Class,Lat,Long
1,Mall of America,"With 520 stores, 50 restaurants, and the nation's largest indoor theme park, Mall of America touts itself as ""one of the most visited tourist destinations in the world.""",http://www.mallofamerica.com/,Hennepin,Cedar Ave. (Hwy. 77) &  E. 81st St. SE.,Bloomington,MN,Minnesota,55425,4200000,4.2,78,7,Enclosed,4,R,1992,2010,Yes,Minneapolis/St. Paul,8,Triple Five Corp.,520,12550,10,Yes,Completed renovation of South Avenue December 2010.  East Broadway renovation to be completed 2011.  Radisson Blu Hotel under construction - will open fall 2012.,Super Regional Center,44.8557,-93.2421
2,Eastwood Mall Complex,"Eastwood Mall opened in 1969. With some 3,200,000 square feet of leasable space, its current anchor stores are JCPenney, Macy's, Sears, Target, and Dillard's.",http://www.eastwoodmall.com/,Trumbull,SR 46 & US Rt. 422,Niles,OH,Ohio,44446-4897,3200000,3.2,304,25,Enclosed,1,T,1969,2006,Yes,Youngstown,8,The Cafaro Company,161,16064,15,Yes,Residence Inn by Marriott & Eastwood Banquet Center also on site.,Super Regional Center,41.2151,-80.7511
3,South Coast Plaza,"South Coast Plaza opened in 1967, and attracts some 24 million visitors per year. It bills itself as ""The Ultimate Shopping Resort.""",http://www.southcoastplaza.com/,Orange,Bristol St. & 405 Frwy.,Costa Mesa,CA,California,92626,2700000,2.7,116,10,Enclosed,3,H,1967,1999,Yes,Los Angeles,45,C.J. Segerstrom & Sons,300,15000,10,No,"A 500,00 sq. ft. expansion planned.",Super Regional Center,33.6912,-117.8896
4,King of Prussia Mall,"King of Prussia Mall is owned by the Simon Property Group, and includes Nordstrom, Macy's Neiman Marcus, Bloomingdale's, Lord & Taylor stores.",http://www.simon.com/mall/king-of-prussia-mall,Montgomery,Rts. 202 & Schuykill Expwy.,King of Prussia,PA,Pennsylvania,19406,2690922,2.69,100,12,Enclosed,3,R,1963,1996,Yes,Philadelphia,12,"Simon Property Group, Inc.",368,18063,10,Yes,"Expansion will add another 140,000 Sq. Ft. The expansion will link the Plaza and Court components of the King of Prussia Mall. Center includes The Court, The Plaza, & The Pavilion.",Super Regional Center,40.0882,-75.3928
5,Millcreek Mall,The Cafaro Company opened Millcreek Mall in 1975. The one-level mall was renovated in 2008.,http://www.millcreekmall.net/,Erie,"Interchange Rd. & Peachstreet (I79, Exit 180)",Erie,PA,Pennsylvania,16565,2600000,2.6,251,65,Enclosed,1,L,1975,2009,No,Cleveland,100,The Cafaro Company,175,12858,10,Yes,,Super Regional Center,42.0688,-80.0983
6,Celebrate Virginia,The Central Park shopping complex is the retail centerpiece of Celebrate Virginia near Fredericksburg. It was developed by the Silver Companies.,http://www.shopatcentralpark.com/,Fredericksburg,Carl D. Silver Pkwy. & Central Park Blvd.,Fredericksburg,VA,Virginia,22401,2500000,2.5,,0,Open,,,1996,,No,,0,The Rappaport Companies,200,0,5,No,"Consists of three separate centers, Central Park/Marketplace/Town Center; a major mixed-use development.",Lifestyle/Specialty Center,38.3032,-77.5102
7,Del Amo Fashion Center,"The precursor to Del Amo opened in 1961. Anchor stores in this Simon-owned mall include JCPenney, Macy's, Sears, and Marshall's.",http://www.simon.com/mall/del-amo-fashion-center,Los Angeles,Carson St. @ Hawthorne Blvd.,Torrance,CA,California,90503,2269000,2.27,140,2,Enclosed,2,T,1975,2008,Yes,Los Angeles,10,"Simon Property Group, Inc.",240,11453,10,Yes,Mall contains 3 separate food courts and each has their own separate seating areas.,Super Regional Center,33.8305,-118.3497
8,Woodfield Mall,"Woodfield Mall opened in 1971. Anchor stores include Nordstrom, Macy's Lord & Taylor, JCPenney, and Sears.",http://www.shopwoodfield.com/,Cook,Woodfield Dr. SW of I-90 & IL 53,Schaumburg,IL,Illinois,60173,2224000,2.22,169,2,Enclosed,3,C,1971,1995,Yes,Chicago,26,The Taubman Company,240,10300,0,No,,Super Regional Center,42.0463,-88.0369
9,The Houston Galleria,"The Galleria's central, vaulted space was modeled on the Galleria Vittorio Emanuale II in Milan, Italy. It is ranked as the largest mall in Texas.",http://www.simon.com/mall/the-galleria,Harris,Post Oak Blvd. & Westheimer Rd.,Houston,TX,Texas,77056,2221000,2.22,57,18,Enclosed,3,T,1970,2006,No,Houston,0,"Simon Property Group, Inc.",345,13000,10,Yes,The Houston Galleria is the southwest's premiere shopping center with over 300 shops and restaurants set beneath spectacular glass atriums.,Super Regional Center,29.7396,-95.4639
10,Palisades Center,"This four-level mall's anchor stores include JCPenney, Lord & Taylor, Macy's, Old Navy, and Target.",http://www.palisadescenter.com/,Rockland,NYS Thruway Exit 12 @ NY 303 & 59,West Nyack,NY,New York,10994,2217322,2.21,106,5,Enclosed,4,R,1998,,Yes,New York City,20,The Pyramid Companies,255,9000,20,Yes,"Palisades Center is a 3 in 1 property combining super regional mall, power center and entertainment center all in one building.",Super Regional Center,41.0973,-73.9559
